英,汉
loves,"n.爱；爱情；爱好；爱人
v.爱；爱戴；有…的倾向 (to do) 〔口语〕欢喜；(两性间)爱慕"
light,"adj.充满亮光的；明亮的；有自然光的；浅色的
n.光；光线；光亮；（具有某种颜色和特性的）光
v.点燃；点火；开始燃烧；燃起来
adv.轻地；轻装地"
pre,adj.前
plimplom,
groaning,"v.呻吟；烦闷 (beneath； under； with)；渴望
n.呻吟；哼声"
jazzing,"n.爵士音乐；活泼放纵；浮华而不实的行为；陈腔滥调的废话
v.把…奏成爵士音乐；在…中加入爵士音乐风味；使有刺激性；奏爵士乐
adj.爵士音乐的；不调和的；(色彩等)花哨恶俗的"
trusting,"adj.轻信的；轻易信赖别人的
v.“trust”的现在分词"
turned,"v.转；转向；变；改变
n.转身；转向；〈美〉拥挤在场外的群众；旋转(运动)"
teenagers,n.青少年
affirmative,"n.肯定；同意
adj.肯定的；同意的"
talking,"adj.(会)说话的；多嘴的；富于表情的(眼睛等)
v.“talk”的现在分词"
seed,"n.种子；籽；后裔；萌芽
v.结籽；（种子）繁殖；在…播种；确定（某人）为种子选手"
rap,"v.敲击；击打；突然大声说出；突然厉声说出
n.叩击；快速的敲击；说唱音乐（节奏快而强，配有快速念白的流行音乐）"
further,"adv.进一步；此外；更远；而且
v.促进；增进
adj.更多的；更进一步的；附加的"
seem,"linkv.似乎；觉得似乎；（表示不确切或客气）看来好像
n.做作的人"
squanches,
lie,"n.谎言；巢；(高尔夫球的)球位；〔英口〕躺
v.编造谎言；欺骗；哄骗；隐瞒"
relationship,n.关系；联系；情爱关系；性爱关系
braveheart,web.勇敢的心；英雄本色；梅尔吉勃逊之英雄本色
soaked,"adj.湿透；（和名词组成形容词）浸透了…的
v.“soak”的过去分词和过去式"
camouflage,"v.伪装；掩饰
n.隐蔽；（动物的）保护色；隐瞒"
bets,"n.赌注；打赌；〈口〉意见；适于做某事的人
v.打赌；下赌注；敢断定；用…打赌"
investigations,n.调查；审查；研究论文
aww,web.平均周工资(Average Weekly Wage)；噢；好快啊
reach,"v.达到；到达；达成；收到
n.领域；(手脚)能够到的范围；(可及的)范围；(影响的)范围"
intergalactic,adj.星系际的
mouth,"n.口；嘴；河口；开口
v.（动嘴唇）不出声地说；言不由衷地说"
poopybutthole,
beth,n.贝丝；希伯来语第二个字母；【女名】女子名
episode,n.插曲；（人生的）一段经历；（电视连续剧或广播剧的）一集
quiches,n.【食】乳蛋饼；上层由蛋和奶酪及其它食物混合烤制
later,"adj.晚；后期；迟；迟到
adv.晚；迟；晚期；新近"
cover,"v.盖；覆盖；包括；掩盖
n.掩护；掩饰；封皮；罩子"
looked,"v.看；显得；打量；注意
n.样子；一看；脸色；相貌"
federal,"n.联邦主义者；【美史】北部联邦同盟盟员；联邦政府战士；联邦政府拥护者
adj.联邦制的；（在美国、加拿大等联邦制下）联邦政府的"
prepare,v.调制；使做好准备；把…预备好；使（自己）有准备
thunder,"n.雷；雷声；雷鸣般的响声；轰隆声
v.打雷；发出雷鸣般响声；轰隆隆地响；轰隆隆地快速移动"
senior,"adj.大；级别（或地位）高的；成人的；高级水平的
n.上级；上司；较…年长的人；级别（或地位）较高者"
left,"n.左；左边；左方；左转弯
adv.向左；在左边
adj.左边的
v.“leave”的过去式和过去分词"
swarming,v.“swarm”的现在分词
aaah,web.啊；亚太卫生人力资源行动联盟；我欲语无言
insects,"n.昆虫；微贱的人
adj.昆虫的；卑劣的"
wailing,"v.悲叹；大哭；哀悼；悲号
n.恸哭；(风的)哀鸣声"
jurisdiction,n.管辖权；司法权；审判权；管辖范围
anyway,adv.反正；总之；而且；加之
ending,"n.结束；结局；终结；词尾
v.“end”的现在分词"
discovered,v.发现；露出；显示；【国象】(移开己方挡道棋子)将(对方)一军
purely,adv.完全；仅仅
glapflap,
crayon,"n.蜡笔；粉笔；蜡笔画
v.用蜡笔画"
corner,"n.角；拐角；街角；墙角
v.转弯；拐弯；使（人或动物）走投无路；逼…入绝境
adj.在拐角处的；适于拐角地方的；(美式足球)翼卫的"
sweaty,adj.满是汗的；汗津津的；汗水湿透的；热得让人出汗的
pleased,"adj.高兴；满意；愉快；乐于（做某事）
v.“please”的过去分词和过去式"
whereabouts,"n.下落；行踪；（人或物）所在的地方
adv.在哪里"
flowers,"n.花；花卉；开花；花状装饰物
v.开花；用花装饰；使开花；成长"
grabbed,"v.抓住；拿；攫取；吸引
n.猛然的抓取；突然的抢夺；抓取（或截获、采集）的图像；抓斗"
explain,v.解释；说明；阐明；说明（…的）原因
mug,"n.指圆筒形；啤酒杯；〈非正式〉傻瓜；〈非正式〉脸
v.抢劫；做鬼脸"
handle,"v.处理；控制；操纵；拿
n.柄；把手；拉手；提梁"
sweetie,n.（儿童语）糖果；招人喜欢的人；可爱的人；（用作称呼语）亲爱的
means,"n.方法；方式；途径；财富
v.“mean”的第三人称单数"
jazz,"n.爵士乐
v.把…奏成爵士音乐；在…中加入爵士音乐风味；使活泼；奏爵士乐
adj.爵士音乐的；不调和的；(色彩等)花哨恶俗的"
coast,"n.海岸；海滨
v.惯性滑行；（不用多少动力）快速平稳地移动；不费力地取得成功"
tammy,n.同“tam-o'-shanter”；【女名】女子名
wedding,n.婚礼；婚宴；结婚纪念日；结合
report,"v.报告；报道；汇报；举报
n.报告；报道；汇报；调查报告"
hedge,"n.树篱；防止损失（尤指金钱）的手段
v.避免正面回答；不直接许诺；拐弯抹角；在（田地等周围）植树篱
adj.树篱的；名声不好的；低劣的"
him,pron.他；指上帝
contextual,adj.上下文的；与上下文有关的；与语境相关的
married,"adj.已婚的；婚姻的；结婚的；专心（于某事）
n.已婚的人
v.“marry”的过去式和过去分词"
licking,"n.（在战争、比赛等中的）惨败
v.“lick”的现在分词"
morning,"n.早晨；上午；午夜至正午的时间
adv.在上午；在早晨；每天上午"
stupid,"n.傻子
adj.欠考虑的；糊涂的；笨的；傻的"
processed,"v.处理；加工；〈口〉排队走；初步分类
n.加工处理；过程；进行；作用
adj.经过特殊加工的；(用化学方法等)处理过的；照相制版的；三色版的"
obscure,"n.朦胧；黑夜
adj.无名的；鲜为人知的；费解的；难以理解的
v.使模糊；使隐晦；使费解"
told,v.tell(告诉)的过去式和过去分词
approaching,"n.探讨；接近；入口；门径
v.探讨；走近；临近；对待"
insane,"adj.精神失常的；精神错乱的；十分愚蠢的；疯狂的
n.精神失常的人；精神错乱的人"
humans,"n.人类
adj.人的；有人性的；显示人类特点的"
sex,"n.性；性别；男性；女性
adj.性的；与性有关的
v.辨识…的性别"
culture,"n.文化；栽培；养殖；培育
v.培养（细胞或细菌）"
computer,n.计算机；计算器；计算者
dumb,adj.哑的；不能说话的；一时说不出话的；不肯开口的
driveway,na.汽车道；(由私人住房通到大路的)私人车道；〈美〉畜群道；马车道
best,"adv.最；最高程度地；最出色地；最高标准地
adj.最好的；最出色的；最优秀的；最愉快的
n.最好的事物（或人）；（人或事物所能达到的）最高标准
v.胜过；打败"
situation,n.情况；〈正式〉工作；地点
ensquanche,
ways,"n.方法；方式；方面；路
v.让开；除去；处分
adv.同“away”；远为"
vows,"n.誓言；誓愿；誓约内容
v.发誓；誓约；许愿；申言誓必…"
its,"pron.其
short.it is；it has
adv.（指事物、动物或婴儿）它的"
grandmother,"n.奶奶；外婆；（外）祖母
v.溺爱；悉心照料"
behind,"prep.支持；在（或向）…的后面；在（或向）…的背面；落后于
adv.拖欠；在（或向）后面；在后面较远处；留在原地
n.屁股（义同 bottom，委婉说法）"
unravel,v.（把缠或织在一起的线）解开；解体；崩溃；瓦解
between,"prep.（空间上）在…中间；（时间上）在…之间
adv.（空间或时间上）在中间"
mouthful,n.一口；又长又拗口的词（或短语）
numerous,adj.许多；数量庞大的；数不清的
across,"adv.横过；宽；在对面；从一边到另一边
prep.横过；遍及；从…一边到另一边；在…对面"
jumper,n.（毛或棉的）针织套衫；跳跃者；跳跃动物；跳虫
sirens,"n.汽笛；【希神】塞壬；歌声美妙的女歌手；妖妇
adj.海妖一样的
v.(警车,救火车等)响着警报器驱车前进"
letting,"v.让；出租；使得；租出
n.（房屋或其他财产的）出租期限"
squealing,"n.【无线】啸声；号叫(声)
v.“squeal”的现在分词"
opening,"n.开放；开始；开口；开幕式
adj.开始的；开篇的；第一
v.“open”的现在分词"
recovering,"v.恢复；挽回(失去或被夺去之物)；回收(废料)
n.恢复开始时姿势"
debt,n.债务；欠款；借款；恩情
legit,"adj.合法的；守法的；按法律（或法规）行事的
n.正统剧；正统剧院"
staring,"adj.瞪眼看的；太显眼的；怪俗气的；倒竖的(头发等)
adv.〈口〉显然
v.“stare”的现在分词"
hours,n.小时；时间；课时；(…)时
hits,"v.命中；打；打击；达到
n.命中；打击；碰撞；【棒】安全打"
smartest,"v.刺痛；痛苦；愤慨；作痛；痛苦；愤慨；刺痛；作痛；感到剧烈刺痛；（因批评、失败等）难过
n.聪敏；疼痛；苦痛；悲痛；聪敏；疼痛；苦痛；悲痛
adj.衣冠楚楚的；衣着讲究的；整洁而漂亮的；光鲜的；敏捷的；刺痛的；辛辣的；活泼的；伶俐的；厉害的；辛辣的；有力的
adv.同“smartly”；同“smartly”"
many,"adj.多
adv.大量
n.多数人[东西]；大多数人；【女名】女子名
pron.许多人[物]"
annual,"n.年报；年鉴；年刊；一年生植物
adj.每年的；一年一次的；年度的；一年的"
interrogate,v.讯问；审问；询问；盘问
cob,"n.短腿壮马；圆面包
v.打碎；(用偏物)打(臀部)"
photographer,n.摄影家；【摄】摄影师；照相师
groans,"v.呻吟；烦闷 (beneath； under； with)；渴望
n.呻吟；哼声"
comes,"v.来；来到；发生；成为
n.精液；精子
int.得啦
prep.（提及的时间）到来"
ck,n.【商】卡文克莱
tough,"n.恶棍；暴徒；粗暴的人
adj.艰苦的；艰难的；棘手的；严厉的
v.〈美俚〉忍耐困难"
distress,"n.窘迫；痛苦；遇险；悲伤
v.使忧虑；使悲伤；使苦恼"
wall,"n.墙；壁；墙壁；城墙
v.用墙把…围住"
walk,"v.走；步行；行走；散步
n.步行；行走；散步；人行道"
pole,"n.磁极；电极；柱子；杆子
v.用篙撑船；摆船"
table,"n.表；桌子；一览表；台子
v.（正式）提出；（将主意、建议等）搁置"
trust,"n.信任；信托；相信；信赖
v.信任；相信；信赖；希望"
considers,v.认为；考虑；留意；估量
meowing,"v.(猫)咪咪地叫；吐恶言毒语；〈美俚〉发牢骚
n.猫叫声；怨言"
west,"n.西；西方；美国西部；西方（与东方国家相对照的欧洲和北美）
adj.西方的；向西的；西部的；西风的
adv.向西；朝西"
tiny,"adj.极小的；微小的；微量的
n.小孩子；【医】癣；【女名】女子名"
beep,"v.发出哔哔声；发出嘟嘟声；（使汽车喇叭等）发出嘟嘟声
n.（汽车喇叭或电子设备发出的）嘟嘟声"
literal,"adj.字面意义的；完全按原文的；缺乏想象力的
n.【印】错排"
damn,"v.（表示愤怒）该死；令（某人）下地狱；强烈指责；谴责
adv.（表示厌烦）该死；极
n.诅咒；些微
adj.该死的；完全的
int.他妈的"
squanchy,
upbeat,"n.向上的趋势；向上摆动；【乐】弱拍；(指挥棒)向上挥舞(以示弱拍)
adj.乐观的；快乐的；积极向上的"
brick,"n.砖；砖块；积木；可靠的朋友
v.用砖砌；用砖镶填；用砖围砌；用砖铺筑
adj.用砖砌的；砖似的"
meeting,"n.会议；会面；集会；集合
v.“meet”的现在分词"
munching,v.用力[大声]地咀嚼；贪馋地咀嚼
engine,"n.发动机；引擎；机车；火车头
v.给…安装发动机"
flight,"n.飞行；班机；逃走；(尤指乘坐飞机的)旅行
v.（熟练地踢、击或掷）使（球）在空中飞行"
squirrel,n.松鼠
cyborg,n.半人半机器的生物
blessing,"n.祝福；好事；上帝的恩宠；祝颂
v.“bless”的现在分词"
photos,n.照片
dramatic,adj.突然的；巨大的；令人吃惊的；激动人心的
lives,"n.“life”的复数
v.“live”的第三人称单数"
labia,n.阴唇
pig,"n.【动】猪；小猪；野猪；〈侮辱〉笨蛋
v.〈非正式〉大吃特吃；猛吃"
dialing,"v.拨；调；拨(电话号码)；用矿用罗盘测量；拨(电话号码)；用矿用罗盘测量
n.(钟表等的)针盘；(仪表等的)标度盘；(电话的)拨号盘；日晷；转盘；号码；千分表；旋钮"
matter,"n.问题；事情；材料；事态
v.要紧；事关紧要；有重大影响"
myself,pron.亲自；（用于动作影响说话人或作者时）我自己
criminal,"n.罪犯
adj.犯罪的；犯法的；涉及犯罪的；刑法的"
profane,"v.亵渎神灵；亵圣
adj.亵渎神灵的；亵圣的；非宗教的；世俗的"
straight,"adj.直的；直筒型（非紧身）的；准的；正中目标的
adv.笔直地；平正地；成直线；直接
n.异性恋者；直道部分"
squawking,"v.抗议；(鸡,鸭,鸟等)嘎嘎地叫；告密；粗声叫出
n.嘎嘎；【鸟】黑冠夜苍鹭；大声诉苦；〈美俚〉粗厉的叫声"
choices,"n.选择；挑选；选择力；选择物
adj.精选的；值得选用的；挑七拣八的；爱惜的"
trick,"n.技巧；诡计；诀窍；把戏
v.欺骗；欺诈
adj.意在欺骗的；容易使人上当的；虚弱有毛病的"
suppose,v.假设；假定；设想；料想
kissing,"adj.接吻的；轻抚的；关系亲密的
v.“kiss”的现在分词"
voice,"n.声音；嗓音；发言权；代言人
v.表达；评论；把…发为声音；鼓吹"
charm,"n.魅力；咒语；吸引力；魔力
v.迷住；吸引；保护"
